Employer_No,Effective_From,Effective_To,Status,Tier
100168,2018-11-14,2018-11-21,Open,3
100168,2018-11-22,2018-11-26,Open,3
100168,2018-11-27,2018-11-28,Open,3
100168,2018-11-29,2018-12-17,Open,3
100168,2018-12-18,2018-12-20,Open,3
100168,2018-12-21,9999-12-31,Open,3
100870,2008-08-30,2010-12-24,Open,3
100870,2010-12-25,2011-06-24,Open,3
100870,2011-06-25,2012-07-27,Open,3
100870,2012-07-28,2013-06-28,Open,3
100870,2013-06-29,2016-05-23,Open,3
100870,2016-05-24,2018-11-02,Open,3
100870,2018-11-03,2018-11-04,Open,3
100870,2018-11-05,2018-11-13,Open,3
100870,2018-11-14,2018-11-21,Open,3
100870,2018-11-22,2018-11-26,Open,3
100870,2018-11-27,2018-11-28,Open,3
100870,2018-11-29,2018-12-17,Open,3
100870,2018-12-18,2018-12-20,Open,3
100870,2018-12-21,9999-12-31,Open,3
100211,2008-04-26,2012-01-06,Open,4
100211,2012-01-07,2015-07-28,Open,4
100211,2015-07-29,2016-05-23,Open,4
100211,2016-05-24,2018-11-02,Open,4
100211,2018-11-03,2018-11-04,Open,4
100211,2018-11-05,2018-11-13,Open,4
100211,2018-11-14,2018-11-21,Open,4
100211,2018-11-22,2018-11-26,Open,4
100211,2018-11-27,2018-11-28,Open,4
100211,2018-11-29,2018-12-17,Open,4
100211,2018-12-18,2018-12-20,Open,4
100211,2018-12-21,9999-12-31,Open,4
100847,2010-05-29,2016-05-23,Open,4
100847,2016-05-24,2018-11-02,Open,4
100847,2018-11-03,2018-11-04,Open,4
100847,2018-11-05,2018-11-13,Open,4
100847,2018-11-14,2018-11-21,Open,4
100847,2018-11-22,2018-11-26,Open,4
100847,2018-11-27,2018-11-28,Open,4
100847,2018-11-29,2018-12-17,Open,4
100847,2018-12-18,2018-12-20,Open,4
100847,2018-12-21,9999-12-31,Open,4
100143,2011-02-26,2011-05-30,Open,1
100143,2011-05-31,2014-03-28,Open,1
100143,2014-03-29,2014-04-25,Open,1
100143,2014-04-26,2014-07-18,Open,1
100143,2014-07-19,2015-05-24,Open,1
100143,2015-05-25,2015-10-27,Open,1
100143,2015-10-28,2015-12-15,Open,1
100143,2015-12-16,2016-05-23,Open,1
100143,2016-05-24,2018-11-02,Open,1
100143,2018-11-03,2018-11-04,Open,1
100143,2018-11-05,2018-11-13,Open,1
100143,2018-11-14,2018-11-21,Open,1
100143,2018-11-22,2018-11-26,Open,1
100143,2018-11-27,2018-11-28,Open,1
100143,2018-11-29,2018-12-17,Open,1
100143,2018-12-18,2018-12-20,Open,1
100143,2018-12-21,9999-12-31,Open,1
100092,2011-12-31,2016-05-23,Open,4
100092,2016-05-24,2018-11-02,Open,4
100092,2018-11-03,2018-11-04,Open,4
100092,2018-11-05,2018-11-13,Open,4
100092,2018-11-14,2018-11-21,Open,4
100092,2018-11-22,2018-11-26,Open,4
100092,2018-11-27,2018-11-28,Open,4
100092,2018-11-29,2018-12-17,Open,4
100092,2018-12-18,2018-12-20,Open,4
100092,2018-12-21,9999-12-31,Open,4
100389,2012-12-14,2013-07-05,Open,4
100389,2013-07-06,2014-09-26,Open,4
100389,2014-09-27,2016-05-23,Open,4
100389,2016-05-24,2018-11-02,Open,4
100389,2018-11-03,2018-11-04,Open,4
100389,2018-11-05,2018-11-13,Open,4
100389,2018-11-14,2018-11-21,Open,4
100389,2018-11-22,2018-11-26,Open,4
100389,2018-11-27,2018-11-28,Open,4
100389,2018-11-29,2018-12-17,Open,4
100389,2018-12-18,2018-12-20,Open,4
100389,2018-12-21,9999-12-31,Open,4
100125,2014-01-30,2014-01-31,Open,3
100125,2014-02-01,2016-05-23,Open,3
100125,2016-05-24,2018-11-02,Open,3
100125,2018-11-03,2018-11-04,Open,3
100125,2018-11-05,2018-11-13,Open,3
100125,2018-11-14,2018-11-21,Open,3
100125,2018-11-22,2018-11-26,Open,3
100125,2018-11-27,2018-11-28,Open,3
100125,2018-11-29,2018-12-17,Open,3
100125,2018-12-18,2018-12-20,Open,3
100125,2018-12-21,9999-12-31,Open,3
100355,2013-12-28,2014-07-25,Open,4
100355,2014-07-26,2016-05-23,Open,4
100355,2016-05-24,2018-11-02,Open,4
100355,2018-11-03,2018-11-04,Open,4
100355,2018-11-05,2018-11-13,Open,4
100355,2018-11-14,2018-11-21,Open,4
100355,2018-11-22,2018-11-26,Open,4
100355,2018-11-27,2018-11-28,Open,4
100355,2018-11-29,2018-12-17,Open,4
100355,2018-12-18,2018-12-20,Open,4
100355,2018-12-21,9999-12-31,Open,4
100351,2014-03-29,2016-05-23,Open,3
100351,2016-05-24,9999-12-31,Open,3
100078,2014-04-26,2016-05-23,Open,4
100078,2016-05-24,2018-11-02,Open,4
100078,2018-11-03,2018-11-04,Open,4
100078,2018-11-05,2018-11-13,Open,4
100078,2018-11-14,2018-11-21,Open,4
100078,2018-11-22,2018-11-26,Open,4
100078,2018-11-27,2018-11-28,Open,4
100078,2018-11-29,2018-12-17,Open,4
100078,2018-12-18,2018-12-20,Open,4
100078,2018-12-21,9999-12-31,Open,4
100048,2014-09-27,2016-05-23,Open,3
100048,2016-05-24,9999-12-31,Open,3
100255,2014-09-27,2016-05-23,Open,2
100255,2016-05-24,2018-12-12,Open,2
100255,2018-12-13,9999-12-31,Closed,2
100466,2015-04-01,2015-07-08,Open,3
100466,2015-07-09,2016-05-23,Open,3
100466,2016-05-24,2018-11-02,Open,3
100466,2018-11-03,2018-11-04,Open,3
100466,2018-11-05,2018-11-13,Open,3
100466,2018-11-14,2018-11-21,Open,3
100466,2018-11-22,2018-11-26,Open,3
100466,2018-11-27,2018-11-28,Open,3
100466,2018-11-29,2018-12-17,Open,3
100466,2018-12-18,2018-12-20,Open,3
100466,2018-12-21,9999-12-31,Open,3
100586,2015-05-05,2015-05-19,Open,4
100586,2015-05-20,2016-05-23,Open,4
100586,2016-05-24,2018-11-02,Open,4
100586,2018-11-03,2018-11-04,Open,4
100586,2018-11-05,2018-11-13,Open,4
100586,2018-11-14,2018-11-21,Open,4
100586,2018-11-22,2018-11-26,Open,4
100586,2018-11-27,2018-11-28,Open,4
100586,2018-11-29,2018-12-17,Open,4
100586,2018-12-18,2018-12-20,Open,4
100586,2018-12-21,9999-12-31,Open,4
100107,2015-05-22,2016-05-23,Open,4
100107,2016-05-24,9999-12-31,Open,4
100356,2015-06-30,2016-05-23,Open,4
100356,2016-05-24,9999-12-31,Open,4
100281,2015-10-30,2016-05-23,Open,4
100281,2016-05-24,9999-12-31,Open,4
100433,2015-12-14,2016-05-23,Open,4
100433,2016-05-24,9999-12-31,Open,4
100148,2016-02-18,2016-05-23,Open,3
100148,2016-05-24,9999-12-31,Open,3
100431,2016-04-28,2016-05-23,Open,4
100431,2016-05-24,9999-12-31,Open,4
100420,2015-09-26,2016-05-23,Open,4
100420,2016-05-24,9999-12-31,Open,4
100775,2016-05-05,2016-05-12,Open,3
100775,2016-05-13,2016-05-23,Open,3
100775,2016-05-24,2018-11-02,Open,3
100775,2018-11-03,2018-11-04,Open,3
100775,2018-11-05,2018-11-13,Open,3
100775,2018-11-14,2018-11-21,Open,3
100775,2018-11-22,2018-11-26,Open,3
100775,2018-11-27,2018-11-28,Open,3
100775,2018-11-29,2018-12-17,Open,3
100775,2018-12-18,2018-12-20,Open,3
100775,2018-12-21,9999-12-31,Open,3
100734,2016-06-20,9999-12-31,Open,2
100459,2016-03-01,9999-12-31,Open,4
100436,2016-04-01,9999-12-31,Open,4
100838,2016-04-01,9999-12-31,Open,4
100531,2016-06-29,2017-03-01,Open,4
100531,2017-03-02,9999-12-31,Open,4
100523,2016-11-01,9999-12-31,Open,4
100127,2016-11-28,9999-12-31,Open,3
100984,2017-01-25,9999-12-31,Open,4
100925,2016-10-01,9999-12-31,Open,4
100278,2017-03-01,9999-12-31,Open,4
100653,2017-04-01,9999-12-31,Open,4
100800,2017-10-20,9999-12-31,Open,4
100660,2017-07-01,9999-12-31,Open,4
100409,2017-08-17,9999-12-31,Open,4
100096,2018-02-17,9999-12-31,Open,4
100333,2018-01-01,9999-12-31,Open,4
100244,2018-03-12,9999-12-31,Open,4
100001,2018-01-01,9999-12-31,Open,4
100488,2018-06-07,9999-12-31,Open,4
100357,2018-06-28,9999-12-31,Open,4
100633,2018-05-05,9999-12-31,Open,4
100137,2018-05-28,9999-12-31,Open,4
100850,2018-10-03,9999-12-31,Open,3
100082,2018-10-15,9999-12-31,Open,4
100199,2018-12-05,9999-12-31,Open,3
100170,2018-10-07,9999-12-31,Open,4
100393,1999-07-30,2002-01-25,Open,4
100393,2002-01-26,2004-08-06,Open,4
100393,2004-08-07,2004-11-06,Open,4
100393,2004-11-07,2005-02-12,Open,4
100393,2005-02-13,2015-08-19,Open,4
100393,2015-08-20,2016-05-23,Open,4
100393,2016-05-24,9999-12-31,Open,4
100041,2002-02-23,2003-02-14,Open,4
100041,2003-02-15,2004-05-30,Open,4
100041,2004-05-31,2009-04-24,Open,4
100041,2009-04-25,2009-10-02,Open,4
100041,2009-10-03,2016-05-23,Open,4
100041,2016-05-24,2018-11-02,Open,4
100041,2018-11-03,2018-11-04,Open,4
100041,2018-11-05,2018-11-13,Open,4
100041,2018-11-14,2018-11-21,Open,4
100041,2018-11-22,2018-11-26,Open,4
100041,2018-11-27,2018-11-28,Open,4
100041,2018-11-29,2018-12-17,Open,4
100041,2018-12-18,2018-12-20,Open,4
100041,2018-12-21,9999-12-31,Open,4
100098,2002-06-29,2003-03-21,Open,4
100098,2003-03-22,2015-06-14,Open,4
100098,2015-06-15,2016-05-23,Open,4
100098,2016-05-24,2018-08-22,Open,4
100098,2018-08-23,2018-11-02,Closed,4
100098,2018-11-03,2018-11-04,Closed,4
100098,2018-11-05,2018-11-13,Closed,4
100098,2018-11-14,2018-11-21,Closed,4
100098,2018-11-22,2018-11-26,Closed,4
100098,2018-11-27,2018-11-28,Closed,4
100098,2018-11-29,2018-12-17,Closed,4
100098,2018-12-18,2018-12-20,Closed,4
100098,2018-12-21,9999-12-31,Closed,4
100891,2003-06-28,2016-05-23,Open,1
100891,2016-05-24,2018-11-02,Open,1
100891,2018-11-03,2018-11-04,Open,1
100891,2018-11-05,2018-11-13,Open,1
100891,2018-11-14,2018-11-21,Open,1
100891,2018-11-22,2018-11-26,Open,1
100891,2018-11-27,2018-11-28,Open,1
100891,2018-11-29,2018-12-17,Open,1
100891,2018-12-18,2018-12-20,Open,1
100891,2018-12-21,9999-12-31,Open,1
100227,2002-06-29,2006-05-30,Open,4
100227,2006-05-31,2008-07-25,Open,4
100227,2008-07-26,2012-03-30,Open,4
100227,2012-03-31,2012-10-30,Open,4
100227,2012-10-31,2013-12-27,Open,4
100227,2013-12-28,2016-05-23,Open,4
100227,2016-05-24,2016-06-15,Closed,4
100227,2016-06-16,2017-02-15,Open,4
100227,2017-02-16,2017-10-24,Closed,4
100227,2017-10-25,2018-11-02,Open,4
100227,2018-11-03,2018-11-04,Open,4
100227,2018-11-05,2018-11-13,Open,4
100227,2018-11-14,2018-11-21,Open,4
100227,2018-11-22,2018-11-26,Open,4
100227,2018-11-27,2018-11-28,Open,4
100227,2018-11-29,2018-12-17,Open,4
100227,2018-12-18,2018-12-20,Open,4
100227,2018-12-21,9999-12-31,Open,4
100620,2005-06-25,2016-05-23,Open,4
100620,2016-05-24,2016-07-14,Open,4
100620,2016-07-15,2018-11-02,Open,4
100620,2018-11-03,2018-11-04,Open,4
100620,2018-11-05,2018-11-13,Open,4
100620,2018-11-14,2018-11-21,Open,4
100620,2018-11-22,2018-11-26,Open,4
100620,2018-11-27,2018-11-28,Open,4
100620,2018-11-29,2018-12-17,Open,4
100620,2018-12-18,2018-12-20,Open,4
100620,2018-12-21,9999-12-31,Open,4
100203,2005-06-25,2016-05-23,Open,4
100203,2016-05-24,2018-11-02,Open,4
100203,2018-11-03,2018-11-04,Open,4
100203,2018-11-05,2018-11-13,Open,4
100203,2018-11-14,2018-11-21,Open,4
100203,2018-11-22,2018-11-26,Open,4
100203,2018-11-27,2018-11-28,Open,4
100203,2018-11-29,2018-12-17,Open,4
100203,2018-12-18,2018-12-20,Open,4
100203,2018-12-21,9999-12-31,Open,4
100284,2006-08-26,2007-01-12,Open,4
100284,2007-01-13,2008-09-05,Open,4
100284,2008-09-06,2010-07-09,Open,4
100284,2010-07-10,2011-07-08,Open,4
100284,2011-07-09,2012-10-19,Open,4
100284,2012-10-20,2013-12-13,Open,4
100284,2013-12-14,2016-05-23,Open,4
100284,2016-05-24,2018-11-02,Open,4
100284,2018-11-03,2018-11-04,Open,4
100284,2018-11-05,2018-11-13,Open,4
100284,2018-11-14,2018-11-21,Open,4
100284,2018-11-22,2018-11-26,Open,4
100284,2018-11-27,2018-11-28,Open,4
100284,2018-11-29,2018-12-17,Open,4
100284,2018-12-18,2018-12-20,Open,4
100284,2018-12-21,9999-12-31,Open,4
100246,2006-09-30,2016-05-23,Open,4
100246,2016-05-24,2018-11-02,Open,4
100246,2018-11-03,2018-11-04,Open,4
100246,2018-11-05,2018-11-13,Open,4
100246,2018-11-14,2018-11-21,Open,4
100246,2018-11-22,2018-11-26,Open,4
100246,2018-11-27,2018-11-28,Open,4
100246,2018-11-29,2018-12-17,Open,4
100246,2018-12-18,2018-12-20,Open,4
100246,2018-12-21,9999-12-31,Open,4
100818,2006-12-30,2016-02-24,Open,4
100818,2016-02-25,2016-02-26,Open,4
100818,2016-02-27,2016-05-23,Open,4
100818,2016-05-24,2017-06-04,Closed,4
100818,2017-06-05,2018-11-02,Open,4
100818,2018-11-03,2018-11-04,Open,4
100818,2018-11-05,2018-11-13,Open,4
100818,2018-11-14,2018-11-21,Open,4
100818,2018-11-22,2018-11-26,Open,4
100818,2018-11-27,2018-11-28,Open,4
100818,2018-11-29,2018-12-17,Open,4
100818,2018-12-18,2018-12-20,Open,4
100818,2018-12-21,9999-12-31,Open,4
100055,2008-08-30,2016-05-23,Open,4
100055,2016-05-24,2018-11-02,Open,4
100055,2018-11-03,2018-11-04,Open,4
100055,2018-11-05,2018-11-13,Open,4
100055,2018-11-14,2018-11-21,Open,4
100055,2018-11-22,2018-11-26,Open,4
100055,2018-11-27,2018-11-28,Open,4
100055,2018-11-29,2018-12-17,Open,4
100055,2018-12-18,2018-12-20,Open,4
100055,2018-12-21,9999-12-31,Open,4
100714,2008-06-28,2009-04-17,Open,4
100714,2009-04-18,2016-05-23,Open,4
100714,2016-05-24,2017-06-22,Closed,4
100714,2017-06-23,9999-12-31,Open,4
100692,2008-09-27,2010-02-26,Open,4
100692,2010-02-27,2014-12-19,Open,4
100692,2014-12-20,2015-03-13,Open,4
100692,2015-03-14,2016-05-23,Open,4
100692,2016-05-24,2016-11-08,Closed,4
100692,2016-11-09,2018-11-02,Open,4
100692,2018-11-03,2018-11-04,Open,4
100692,2018-11-05,2018-11-13,Open,4
100692,2018-11-14,2018-11-21,Open,4
100692,2018-11-22,2018-11-26,Open,4
100692,2018-11-27,2018-11-28,Open,4
100692,2018-11-29,2018-12-17,Open,4
100692,2018-12-18,2018-12-20,Open,4
100692,2018-12-21,9999-12-31,Open,4
100188,2007-12-29,2014-06-20,Open,1
100188,2014-06-21,2015-04-16,Open,1
100188,2015-04-17,2015-06-14,Open,1
100188,2015-06-15,2016-05-23,Open,1
100188,2016-05-24,2018-11-02,Open,1
100188,2018-11-03,2018-11-04,Open,1
100188,2018-11-05,2018-11-13,Open,1
100188,2018-11-14,2018-11-21,Open,4
100188,2018-11-22,2018-11-26,Open,4
100188,2018-11-27,2018-11-28,Open,4
100188,2018-11-29,2018-12-17,Open,4
100188,2018-12-18,2018-12-20,Open,4
100188,2018-12-21,9999-12-31,Open,4
100618,2009-08-29,2015-08-04,Open,4
100618,2015-08-05,2016-05-23,Open,4
100618,2016-05-24,2018-11-02,Open,4
100618,2018-11-03,2018-11-04,Open,4
100618,2018-11-05,2018-11-13,Open,4
100618,2018-11-14,2018-11-21,Open,4
100618,2018-11-22,2018-11-26,Open,4
100618,2018-11-27,2018-11-28,Open,4
100618,2018-11-29,2018-12-17,Open,4
100618,2018-12-18,2018-12-20,Open,4
100618,2018-12-21,9999-12-31,Open,4
100162,2010-03-27,2012-07-27,Open,4
100162,2012-07-28,2013-10-30,Open,4
100162,2013-10-31,2015-06-16,Open,4
100162,2015-06-17,2015-10-01,Open,4
100162,2015-10-02,2016-05-23,Open,4
100162,2016-05-24,2018-03-26,Closed,4
100162,2018-03-27,2018-11-02,Open,4
100162,2018-11-03,2018-11-04,Open,4
100162,2018-11-05,2018-11-13,Open,4
100162,2018-11-14,2018-11-21,Open,4
100162,2018-11-22,2018-11-26,Open,4
100162,2018-11-27,2018-11-28,Open,4
100162,2018-11-29,2018-12-17,Open,4
100162,2018-12-18,2018-12-20,Open,4
100162,2018-12-21,9999-12-31,Open,4
100839,2010-06-26,2010-10-15,Open,4
100839,2010-10-16,2016-05-23,Open,4
100839,2016-05-24,9999-12-31,Open,4
100156,2010-06-26,2013-06-21,Open,2
100156,2013-06-22,2016-05-23,Open,2
100156,2016-05-24,2018-11-02,Open,2
100156,2018-11-03,2018-11-04,Open,2
100156,2018-11-05,2018-11-13,Open,2
100156,2018-11-14,2018-11-21,Open,2
100156,2018-11-22,2018-11-26,Open,2
100156,2018-11-27,2018-11-28,Open,2
100156,2018-11-29,2018-12-17,Open,2
100156,2018-12-18,2018-12-20,Open,2
100156,2018-12-21,9999-12-31,Open,2
100237,2010-09-25,2012-11-09,Open,4
100237,2012-11-10,2014-07-04,Open,4
100237,2014-07-05,2016-05-23,Open,4
100237,2016-05-24,2018-11-02,Open,4
100237,2018-11-03,2018-11-04,Open,4
100237,2018-11-05,2018-11-13,Open,4
100237,2018-11-14,2018-11-21,Open,4
100237,2018-11-22,2018-11-26,Open,4
100237,2018-11-27,2018-11-28,Open,4
100237,2018-11-29,2018-12-17,Open,4
100237,2018-12-18,2018-12-20,Open,4
100237,2018-12-21,9999-12-31,Open,4
100543,2010-09-25,2012-06-29,Open,3
100543,2012-06-30,2012-08-30,Open,3
100543,2012-08-31,2016-05-23,Open,3
100543,2016-05-24,2018-11-02,Open,3
100543,2018-11-03,2018-11-04,Open,3
100543,2018-11-05,2018-11-13,Open,3
100543,2018-11-14,2018-11-21,Open,3
100543,2018-11-22,2018-11-26,Open,3
100543,2018-11-27,2018-11-28,Open,3
100543,2018-11-29,2018-12-17,Open,3
100543,2018-12-18,2018-12-20,Open,3
100543,2018-12-21,9999-12-31,Open,3
100967,2011-06-25,2016-04-06,Open,4
100967,2016-04-07,2016-05-23,Open,4
100967,2016-05-24,2018-11-02,Open,4
100967,2018-11-03,2018-11-04,Open,4
100967,2018-11-05,2018-11-13,Open,4
100967,2018-11-14,2018-11-21,Open,4
100967,2018-11-22,2018-11-26,Open,4
100967,2018-11-27,2018-11-28,Open,4
100967,2018-11-29,2018-12-17,Open,4
100967,2018-12-18,2018-12-20,Open,4
100967,2018-12-21,9999-12-31,Open,4
100395,2011-11-26,2016-05-23,Open,4
100395,2016-05-24,2018-11-02,Open,4
100395,2018-11-03,2018-11-04,Open,4
100395,2018-11-05,2018-11-13,Open,4
100395,2018-11-14,2018-11-21,Open,4
100395,2018-11-22,2018-11-26,Open,4
100395,2018-11-27,2018-11-28,Open,4
100395,2018-11-29,2018-12-17,Open,4
100395,2018-12-18,2018-12-20,Open,4
100395,2018-12-21,9999-12-31,Open,4
100494,2011-11-26,2016-05-23,Open,3
100494,2016-05-24,2016-07-14,Open,3
100494,2016-07-15,2018-11-02,Open,3
100494,2018-11-03,2018-11-04,Open,3
100494,2018-11-05,2018-11-13,Open,3
100494,2018-11-14,2018-11-21,Open,3
100494,2018-11-22,2018-11-26,Open,3
100494,2018-11-27,2018-11-28,Open,3
100494,2018-11-29,2018-12-17,Open,3
100494,2018-12-18,2018-12-20,Open,3
100494,2018-12-21,9999-12-31,Open,3
100924,2012-12-01,2013-12-06,Open,4
100924,2013-12-07,2015-10-25,Open,4
100924,2015-10-26,2016-05-23,Open,4
100924,2016-05-24,9999-12-31,Open,4
100458,2012-07-28,2016-05-23,Open,4
100458,2016-05-24,2018-11-02,Open,4
100458,2018-11-03,2018-11-04,Open,4
100458,2018-11-05,2018-11-13,Open,4
100458,2018-11-14,2018-11-21,Open,4
100458,2018-11-22,2018-11-26,Open,4
100458,2018-11-27,2018-11-28,Open,4
100458,2018-11-29,2018-12-17,Open,4
100458,2018-12-18,2018-12-20,Open,4
100458,2018-12-21,9999-12-31,Open,4
100085,2013-06-01,2014-01-10,Open,4
100085,2014-01-11,2015-03-13,Open,4
100085,2015-03-14,2016-05-23,Open,4
100085,2016-05-24,9999-12-31,Open,4
100186,2013-03-30,2016-05-23,Open,3
100186,2016-05-24,2018-11-02,Open,3
100186,2018-11-03,2018-11-04,Open,3
100186,2018-11-05,2018-11-13,Open,3
100186,2018-11-14,2018-11-21,Open,3
100186,2018-11-22,2018-11-26,Open,3
100186,2018-11-27,2018-11-28,Open,3
100186,2018-11-29,2018-12-17,Open,3
100186,2018-12-18,2018-12-20,Open,3
100186,2018-12-21,9999-12-31,Open,3
100379,2014-03-01,2016-05-23,Open,4
100379,2016-05-24,2018-11-02,Open,4
100379,2018-11-03,2018-11-04,Open,4
100379,2018-11-05,2018-11-13,Open,4
100379,2018-11-14,2018-11-21,Open,4
100379,2018-11-22,2018-11-26,Open,4
100379,2018-11-27,2018-11-28,Open,4
100379,2018-11-29,2018-12-17,Open,4
100379,2018-12-18,2018-12-20,Open,4
100379,2018-12-21,9999-12-31,Open,4
100931,2014-03-01,2016-05-23,Open,4
100931,2016-05-24,2018-11-02,Open,4
100931,2018-11-03,2018-11-04,Open,4
100931,2018-11-05,2018-11-13,Open,4
100931,2018-11-14,2018-11-21,Open,4
100931,2018-11-22,2018-11-26,Open,4
100931,2018-11-27,2018-11-28,Open,4
100931,2018-11-29,2018-12-17,Open,4
100931,2018-12-18,2018-12-20,Open,4
100931,2018-12-21,9999-12-31,Open,4
100204,2014-03-29,2016-05-23,Open,4
100204,2016-05-24,2018-11-02,Open,4
100204,2018-11-03,2018-11-04,Open,4
100204,2018-11-05,2018-11-13,Open,4
100204,2018-11-14,2018-11-21,Open,4
100204,2018-11-22,2018-11-26,Open,4
100204,2018-11-27,2018-11-28,Open,4
100204,2018-11-29,2018-12-17,Open,4
100204,2018-12-18,2018-12-20,Open,4
100204,2018-12-21,9999-12-31,Open,4
100676,2013-12-28,2016-05-23,Open,4
100676,2016-05-24,2017-05-09,Closed,4
100676,2017-05-10,9999-12-31,Open,4
100062,2014-05-31,2015-10-14,Open,3
100062,2015-10-15,2016-05-01,Open,3
100062,2016-05-02,2016-05-23,Open,3
100062,2016-05-24,2018-11-02,Open,3
100062,2018-11-03,2018-11-04,Open,3
100062,2018-11-05,2018-11-13,Open,3
100062,2018-11-14,2018-11-21,Open,3
100062,2018-11-22,2018-11-26,Open,3
100062,2018-11-27,2018-11-28,Open,3
100062,2018-11-29,2018-12-17,Open,3
100062,2018-12-18,2018-12-20,Open,3
100062,2018-12-21,9999-12-31,Open,3
100405,2009-06-27,2016-05-23,Open,4
100405,2016-05-24,2018-07-11,Closed,4
100405,2018-07-12,9999-12-31,Open,4
100019,2014-11-01,2016-05-23,Open,4
100019,2016-05-24,2018-11-02,Open,4
100019,2018-11-03,2018-11-04,Open,4
100019,2018-11-05,2018-11-13,Open,4
100019,2018-11-14,2018-11-21,Open,4
100019,2018-11-22,2018-11-26,Open,4
100019,2018-11-27,2018-11-28,Open,4
100019,2018-11-29,2018-12-17,Open,4
100019,2018-12-18,2018-12-20,Open,4
100019,2018-12-21,9999-12-31,Open,4
100512,2014-11-29,2015-08-11,Open,1
100512,2015-08-12,2016-05-23,Open,1
100512,2016-05-24,2018-11-02,Open,1
100512,2018-11-03,2018-11-04,Open,1
100512,2018-11-05,2018-11-13,Open,1
100512,2018-11-14,2018-11-21,Open,1
100512,2018-11-22,2018-11-26,Open,1
100512,2018-11-27,2018-11-28,Open,1
100512,2018-11-29,2018-12-17,Open,1
100512,2018-12-18,2018-12-20,Open,1
100512,2018-12-21,9999-12-31,Open,1
100164,2015-04-15,2015-04-22,Open,4
100164,2015-04-23,2016-05-23,Open,4
100164,2016-05-24,2018-11-02,Open,4
100164,2018-11-03,2018-11-04,Open,4
